"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"0 - 4 Yhteensä Kuolleet";"5 - 9 Yhteensä Kuolleet";"10 - 14 Yhteensä Kuolleet";"15 - 19 Yhteensä Kuolleet";"20 - 24 Yhteensä Kuolleet";"25 - 29 Yhteensä Kuolleet";"30 - 34 Yhteensä Kuolleet";"35 - 39 Yhteensä Kuolleet";"40 - 44 Yhteensä Kuolleet";"45 - 49 Yhteensä Kuolleet";"50 - 54 Yhteensä Kuolleet";"55 - 59 Yhteensä Kuolleet";"60 - 64 Yhteensä Kuolleet";"65 - 69 Yhteensä Kuolleet";"70 - 74 Yhteensä Kuolleet";"75 - 79 Yhteensä Kuolleet";"80 - 84 Yhteensä Kuolleet";"85 - 89 Yhteensä Kuolleet";"90 - Yhteensä Kuolleet"
"KOKO MAA";"1992W41";929;4;0;3;3;3;5;5;9;14;33;31;40;46;98;130;132;174;119;80
"KOKO MAA";"1992W42";943;5;0;3;2;4;6;6;12;25;21;32;40;70;98;110;133;177;118;81
"KOKO MAA";"1992W43";953;6;1;0;3;4;7;5;14;20;32;24;42;67;88;126;148;187;112;67
"KOKO MAA";"1992W44";958;6;1;0;5;3;5;8;7;24;19;32;43;67;93;107;146;168;144;80
"KOKO MAA";"1992W45";921;8;3;2;4;5;4;5;6;16;26;22;41;61;78;122;147;158;124;89
"KOKO MAA";"1992W46";989;7;1;1;3;5;6;8;13;24;25;30;39;64;99;104;163;188;127;82
"KOKO MAA";"1992W47";937;10;3;2;0;9;12;9;12;15;29;26;28;82;82;99;164;162;123;70
"KOKO MAA";"1992W48";892;10;1;1;1;4;4;8;10;20;27;28;28;59;105;103;143;178;103;59
"KOKO MAA";"1992W49";968;3;0;1;3;9;5;7;11;21;20;27;44;64;100;109;150;184;133;77
"KOKO MAA";"1992W50";935;5;0;0;5;2;9;8;14;22;28;32;45;69;70;116;140;174;122;74
"KOKO MAA";"1992W51";966;12;0;1;3;10;7;11;17;17;22;35;43;62;90;101;161;166;128;80
"KOKO MAA";"1992W52";1007;9;1;0;1;1;8;7;22;28;23;27;42;57;94;120;168;175;158;66
"KOKO MAA";"1992W53";1027;7;0;1;5;8;11;6;16;15;34;29;40;72;97;118;160;182;150;76
"KOKO MAA";"1993W01";980;4;1;0;3;3;6;7;9;19;24;27;38;71;89;107;148;191;140;93
"KOKO MAA";"1993W02";985;5;0;1;2;5;8;13;11;31;31;19;42;67;90;106;145;201;137;71
"KOKO MAA";"1993W03";1023;11;2;2;9;6;9;9;13;23;27;22;43;72;93;135;143;182;131;91
"KOKO MAA";"1993W04";997;9;1;1;1;1;10;11;8;17;23;27;36;66;84;136;158;181;147;80
"KOKO MAA";"1993W05";982;5;0;1;3;5;3;2;13;18;20;38;30;61;100;108;166;180;149;80
"KOKO MAA";"1993W06";931;7;0;0;1;4;4;8;13;28;22;25;34;65;86;102;143;164;141;84
"KOKO MAA";"1993W07";1089;9;3;1;5;9;12;7;16;31;34;29;39;76;93;118;175;197;145;90
"KOKO MAA";"1993W08";1082;10;1;3;7;6;4;9;13;26;25;26;48;66;78;118;173;213;143;113
"KOKO MAA";"1993W09";1014;9;0;1;2;3;9;4;7;23;25;34;45;56;112;106;156;172;168;82
"KOKO MAA";"1993W10";1118;6;1;0;0;7;8;6;13;22;25;28;44;62;103;129;182;212;167;103
"KOKO MAA";"1993W11";1195;8;1;1;1;3;9;8;15;16;22;37;56;68;107;129;178;227;210;99
"KOKO MAA";"1993W12";1146;8;0;0;4;5;3;7;5;30;33;30;45;60;100;124;170;224;180;118
"KOKO MAA";"1993W13";1053;8;1;0;2;5;6;6;16;9;41;43;26;61;99;134;150;198;148;100
"KOKO MAA";"1993W14";1028;4;2;1;0;3;8;11;7;22;27;23;44;59;91;108;148;190;182;98
"KOKO MAA";"1993W15";1017;7;0;1;2;5;6;7;15;23;23;44;31;59;97;110;133;200;165;89
"KOKO MAA";"1993W16";978;13;3;0;0;4;9;8;14;19;23;28;39;57;86;100;171;175;149;80
"KOKO MAA";"1993W17";1005;6;1;3;4;7;9;9;9;22;30;23;56;60;106;121;154;197;116;72
"KOKO MAA";"1993W18";952;5;1;2;0;6;5;14;6;22;23;32;38;59;83;89;145;192;148;82
"KOKO MAA";"1993W19";898;6;1;1;2;5;10;7;16;31;19;25;32;62;87;125;112;141;146;70
"KOKO MAA";"1993W20";884;4;1;0;1;5;12;9;18;21;17;34;31;68;84;107;134;145;124;69
"KOKO MAA";"1993W21";856;6;1;0;3;1;3;9;13;18;28;26;40;51;73;101;125;155;128;75
"KOKO MAA";"1993W22";879;6;1;1;3;3;4;3;16;21;19;35;29;51;77;111;131;169;128;71
"KOKO MAA";"1993W23";907;5;0;2;3;4;7;4;18;23;25;34;43;61;86;99;129;178;120;66
"KOKO MAA";"1993W24";895;6;3;3;4;6;6;7;17;18;20;25;30;64;89;99;141;167;122;68
"KOKO MAA";"1993W25";945;2;1;0;6;3;10;8;11;22;43;29;47;79;91;122;118;156;129;68
"KOKO MAA";"1993W26";919;5;2;0;2;1;9;8;13;28;27;24;42;53;94;115;142;149;136;69
"KOKO MAA";"1993W27";952;12;1;0;4;4;8;18;9;23;26;34;44;62;109;117;136;152;123;70
"KOKO MAA";"1993W28";864;3;0;2;4;8;9;4;11;12;30;30;42;55;77;135;132;135;116;59
"KOKO MAA";"1993W29";835;5;1;2;8;4;12;7;12;22;24;21;35;62;83;81;148;138;110;60
"KOKO MAA";"1993W30";799;7;1;0;5;5;9;12;7;22;22;32;48;50;71;83;116;148;107;54
"KOKO MAA";"1993W31";898;4;0;1;2;1;7;14;12;20;23;24;44;59;79;101;158;162;121;66
"KOKO MAA";"1993W32";864;2;1;1;6;5;3;6;19;19;24;36;33;76;86;106;123;146;119;53
"KOKO MAA";"1993W33";832;7;2;0;1;3;11;11;8;21;20;31;41;52;77;85;122;157;121;62
"KOKO MAA";"1993W34";829;5;0;0;2;1;5;8;15;16;32;27;31;51;87;85;144;148;114;58
"KOKO MAA";"1993W35";902;8;1;2;6;6;7;13;14;27;25;35;29;52;98;110;130;147;119;73
"KOKO MAA";"1993W36";920;6;0;1;2;5;6;4;10;22;37;37;31;47;74;115;156;180;126;61
"KOKO MAA";"1993W37";948;5;0;0;4;5;5;5;13;11;33;24;37;46;89;109;148;196;141;77
"KOKO MAA";"1993W38";948;9;2;0;0;10;6;10;11;27;26;26;40;54;94;128;127;166;141;71
"KOKO MAA";"1993W39";923;10;1;2;6;2;5;14;14;17;30;34;43;67;76;104;136;164;118;80
"KOKO MAA";"1993W40";906;6;1;0;3;3;7;10;13;7;26;33;36;66;98;103;116;178;122;78
"KOKO MAA";"1993W41";954;10;1;3;2;4;8;8;10;18;38;36;46;59;78;115;139;175;127;77
"KOKO MAA";"1993W42";901;2;4;5;4;3;8;9;16;21;43;27;45;49;98;97;138;142;117;73
"KOKO MAA";"1993W43";934;4;1;2;3;0;9;10;12;19;31;29;33;61;92;119;140;166;132;71
"KOKO MAA";"1993W44";920;8;0;0;5;3;7;7;9;13;23;27;35;72;91;111;133;172;125;79
"KOKO MAA";"1993W45";965;1;1;0;2;4;5;4;13;18;24;33;45;66;92;127;137;187;145;61
