country;group;week;zscore
Cyprus;Total;2017-41;0.96
Cyprus;Total;2017-42;0.1
Cyprus;Total;2017-43;-0.51
Cyprus;Total;2017-44;-0.35
Cyprus;Total;2017-45;-0.82
Cyprus;Total;2017-46;-0.08
Cyprus;Total;2017-47;-0.74
Cyprus;Total;2017-48;-0.98
Cyprus;Total;2017-49;0.18
Cyprus;Total;2017-50;-0.92
Cyprus;Total;2017-51;-0.62
Cyprus;Total;2017-52;-1
Cyprus;Total;2018-01;-0.8
Cyprus;Total;2018-02;-1.1
Cyprus;Total;2018-03;-1.53
Cyprus;Total;2018-04;-0.89
Cyprus;Total;2018-05;-0.27
Cyprus;Total;2018-06;0.35
Cyprus;Total;2018-07;-1.63
Cyprus;Total;2018-08;0.09
Cyprus;Total;2018-09;-0.42
Cyprus;Total;2018-10;-0.76
Cyprus;Total;2018-11;-1.37
Cyprus;Total;2018-12;-0.67
Cyprus;Total;2018-13;-1.15
Cyprus;Total;2018-14;-0.71
Cyprus;Total;2018-15;-0.3
Cyprus;Total;2018-16;-0.23
Cyprus;Total;2018-17;-0.15
Cyprus;Total;2018-18;-0.11
Cyprus;Total;2018-19;-0.82
Cyprus;Total;2018-20;-1.22
Cyprus;Total;2018-21;0.11
Cyprus;Total;2018-22;-0.46
Cyprus;Total;2018-23;-0.46
Cyprus;Total;2018-24;-0.8
Cyprus;Total;2018-25;0.47
Cyprus;Total;2018-26;-0.15
Cyprus;Total;2018-27;0.31
Cyprus;Total;2018-28;0.19
Cyprus;Total;2018-29;0.8
Cyprus;Total;2018-30;0.66
Cyprus;Total;2018-31;0.64
Cyprus;Total;2018-32;0.27
Cyprus;Total;2018-33;0.45
Cyprus;Total;2018-34;0.78
Cyprus;Total;2018-35;1.36
Cyprus;Total;2018-36;-0.22
Cyprus;Total;2018-37;0.63
Cyprus;Total;2018-38;0.71
Cyprus;Total;2018-39;0.1
Cyprus;Total;2018-40;0.55
Cyprus;Total;2018-41;-0.12
Cyprus;Total;2018-42;0.21
Cyprus;Total;2018-43;-0.75
Cyprus;Total;2018-44;-0.16
Cyprus;Total;2018-45;-0.33
Cyprus;Total;2018-46;-0.33
Cyprus;Total;2018-47;-1.33
Cyprus;Total;2018-48;-0.61
Cyprus;Total;2018-49;-1.08
Cyprus;Total;2018-50;-0.94
Cyprus;Total;2018-51;-0.76
Cyprus;Total;2018-52;-1.25
Cyprus;Total;2019-01;-0.49
Cyprus;Total;2019-02;0.23
Cyprus;Total;2019-03;-0.02
Cyprus;Total;2019-04;-0.14
Cyprus;Total;2019-05;-0.15
Cyprus;Total;2019-06;0.03
Cyprus;Total;2019-07;-0.66
Cyprus;Total;2019-08;-0.85
Cyprus;Total;2019-09;-0.64
Cyprus;Total;2019-10;-1.01
Cyprus;Total;2019-11;-0.73
Cyprus;Total;2019-12;-1.35
Cyprus;Total;2019-13;-0.76
Cyprus;Total;2019-14;-1.1
Cyprus;Total;2019-15;-1.3
Cyprus;Total;2019-16;-0.31
Cyprus;Total;2019-17;-0.35
Cyprus;Total;2019-18;0.34
Cyprus;Total;2019-19;-1.13
Cyprus;Total;2019-20;-0.27
Cyprus;Total;2019-21;0.4
Cyprus;Total;2019-22;1.01
Cyprus;Total;2019-23;-0.75
Cyprus;Total;2019-24;-0.25
Cyprus;Total;2019-25;0.5
Cyprus;Total;2019-26;-0.02
Cyprus;Total;2019-27;1
Cyprus;Total;2019-28;1.63
Cyprus;Total;2019-29;-0.15
Cyprus;Total;2019-30;-1.12
Cyprus;Total;2019-31;0.38
Cyprus;Total;2019-32;1.31
Cyprus;Total;2019-33;-0.46
Cyprus;Total;2019-34;1.02
Cyprus;Total;2019-35;0.93
Cyprus;Total;2019-36;0.33
Cyprus;Total;2019-37;0.43
Cyprus;Total;2019-38;-0.45
Cyprus;Total;2019-39;-0.19
Cyprus;Total;2019-40;0.26
Cyprus;Total;2019-41;0.25
Cyprus;Total;2019-42;-0.43
Cyprus;Total;2019-43;-0.63
Cyprus;Total;2019-44;-0.75
Cyprus;Total;2019-45;-1
Cyprus;Total;2019-46;-0.5
Cyprus;Total;2019-47;-1.52
