group;week;zscore
45to64;2019-12;0.56
45to64;2019-13;-0.88
45to64;2019-14;0.09
45to64;2019-15;-1.45
45to64;2019-16;0.55
45to64;2019-17;0.56
45to64;2019-18;-1.62
45to64;2019-19;-0.97
45to64;2019-20;-0.31
45to64;2019-21;-0.92
45to64;2019-22;-0.34
45to64;2019-23;-0.42
45to64;2019-24;0.7
45to64;2019-25;1.25
45to64;2019-26;2.45
45to64;2019-27;2.85
45to64;2019-28;-2.12
45to64;2019-29;1.76
45to64;2019-30;2.43
45to64;2019-31;-0.58
45to64;2019-32;-1.22
45to64;2019-33;-3.46
45to64;2019-34;-2
45to64;2019-35;0.89
45to64;2019-36;-1.43
45to64;2019-37;-2.26
45to64;2019-38;0.32
45to64;2019-39;1.22
45to64;2019-40;0.07
45to64;2019-41;0.72
45to64;2019-42;-0.7
45to64;2019-43;-0.72
45to64;2019-44;-0.34
45to64;2019-45;2.54
45to64;2019-46;0.7
45to64;2019-47;-0.27
45to64;2019-48;0.64
45to64;2019-49;3.21
45to64;2019-50;1.82
45to64;2019-51;3.75
45to64;2019-52;0.63
45to64;2020-01;3.42
45to64;2020-02;3.99
45to64;2020-03;3.65
45to64;2020-04;1.52
45to64;2020-05;3.61
45to64;2020-06;2.35
45to64;2020-07;1.77
45to64;2020-08;0.8
45to64;2020-09;1.5
45to64;2020-10;2.04
45to64;2020-11;3.97
45to64;2020-12;8.63
45to64;2020-13;15.46
45to64;2020-14;21.67
45to64;2020-15;19.35
45to64;2020-16;12.34
45to64;2020-17;8.46
45to64;2020-18;3.47
45to64;2020-19;3.94
45to64;2020-20;1.94
45to64;2020-21;2.89
45to64;2020-22;2.37
45to64;2020-23;0.55
45to64;2020-24;0.55
45to64;2020-25;-1.33
45to64;2020-26;1.56
45to64;2020-27;0.59
45to64;2020-28;0.08
45to64;2020-29;0.55
45to64;2020-30;1.35
45to64;2020-31;2.91
45to64;2020-32;2.5
45to64;2020-33;6.53
45to64;2020-34;0.5
45to64;2020-35;-0.44
45to64;2020-36;0.78
45to64;2020-37;1.33
45to64;2020-38;2.59
45to64;2020-39;1.64
45to64;2020-40;3.16
45to64;2020-41;3.86
45to64;2020-42;3.98
45to64;2020-43;7.02
45to64;2020-44;7.25
45to64;2020-45;8.8
45to64;2020-46;10.36
45to64;2020-47;9.33
45to64;2020-48;12.15
45to64;2020-49;10.52
45to64;2020-50;12.26
45to64;2020-51;9.55
45to64;2020-52;11.04
45to64;2020-53;11.87
45to64;2021-01;15.31
45to64;2021-02;16.26
45to64;2021-03;16.42
45to64;2021-04;13.4
45to64;2021-05;11.34
45to64;2021-06;9.87
45to64;2021-07;8.62
45to64;2021-08;5.18
45to64;2021-09;4.14
45to64;2021-10;6.14
45to64;2021-11;4.99
45to64;2021-12;6.67
45to64;2021-13;8
45to64;2021-14;8.08
45to64;2021-15;9.64
45to64;2021-16;9.28
45to64;2021-17;9.09
45to64;2021-18;7.88
45to64;2021-19;5.15
45to64;2021-20;3.65
45to64;2021-21;3.36
45to64;2021-22;4.4
45to64;2021-23;3.09
45to64;2021-24;3.22
45to64;2021-25;3.09
45to64;2021-26;4.94
45to64;2021-27;2.58
45to64;2021-28;3.49
45to64;2021-29;5.34
45to64;2021-30;3.86
45to64;2021-31;5.74
45to64;2021-32;5.48
45to64;2021-33;5.56
45to64;2021-34;4.14
45to64;2021-35;6.66
45to64;2021-36;7.36
45to64;2021-37;3.99
45to64;2021-38;6.49
45to64;2021-39;4.18
45to64;2021-40;6.77
45to64;2021-41;8.26
45to64;2021-42;7.35
45to64;2021-43;7.54
45to64;2021-44;8.32
45to64;2021-45;9.92
45to64;2021-46;11.79
45to64;2021-47;13.73
45to64;2021-48;16.04
45to64;2021-49;16.14
45to64;2021-50;13.22
45to64;2021-51;13.83
45to64;2021-52;12.53
45to64;2022-01;10.39
45to64;2022-02;8.6
45to64;2022-03;6.76
45to64;2022-04;7.42
45to64;2022-05;7.72
45to64;2022-06;5.18
45to64;2022-07;4.58
45to64;2022-08;2.83
45to64;2022-09;2.48
45to64;2022-10;-0.17
45to64;2022-11;-4.31
65to74;2017-13;-0.95
65to74;2017-14;-0.78
65to74;2017-15;-1.31
65to74;2017-16;-1.17
65to74;2017-17;0.81
65to74;2017-18;1.65
65to74;2017-19;1.4
65to74;2017-20;1.64
65to74;2017-21;-0.19
65to74;2017-22;-0.91
65to74;2017-23;-1.26
65to74;2017-24;-0.73
65to74;2017-25;2.12
65to74;2017-26;0.56
65to74;2017-27;1.99
65to74;2017-28;-0.12
65to74;2017-29;1.91
65to74;2017-30;-0.62
65to74;2017-31;0.97
65to74;2017-32;-0.24
65to74;2017-33;0.1
65to74;2017-34;-0.9
65to74;2017-35;-1.36
65to74;2017-36;-1.88
65to74;2017-37;0.53
65to74;2017-38;1.53
65to74;2017-39;0.54
65to74;2017-40;0.46
65to74;2017-41;1.84
65to74;2017-42;1.23
65to74;2017-43;0
65to74;2017-44;-0.65
