"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-1469","2015-12-24","-398.1801493751809"
"-1462","2015-12-31","-376.86988753074866"
"-1455","2016-01-07","-280.0218117212587"
"-1448","2016-01-14","-179.60180852371354"
"-1441","2016-01-21","-25.513780316779048"
"-1434","2016-01-28","63.38449764756297"
"-1427","2016-02-04","148.2648465435136"
"-1420","2016-02-11","217.3117188803967"
"-1413","2016-02-18","167.70504463382895"
"-1406","2016-02-25","119.60313703053521"
"-1399","2016-03-03","104.1259056389406"
"-1392","2016-03-10","41.33862005052288"
"-1385","2016-03-17","2.236459543957608"
"-1378","2016-03-24","23.73007281844093"
"-1371","2016-03-31","54.6323573268794"
"-1364","2016-04-07","-23.35334985638906"
"-1357","2016-04-14","-62.64349808114821"
"-1350","2016-04-21","-42.782817402528735"
"-1343","2016-04-28","-105.45095745651315"
"-1336","2016-05-05","-150.4671741241965"
"-1329","2016-05-12","-214.7929954266608"
"-1322","2016-05-19","-253.5328273424957"
"-1315","2016-05-26","-222.93249006958376"
"-1308","2016-06-02","-226.37570522982446"
"-1301","2016-06-09","-288.3785842057987"
"-1294","2016-06-16","-308.5821967717569"
"-1287","2016-06-23","-329.7433270177953"
"-1280","2016-06-30","-288.7235498620212"
"-1273","2016-07-07","-363.4767858194368"
"-1266","2016-07-14","-368.03551379445275"
"-1259","2016-07-21","-360.4958411654711"
"-1252","2016-07-28","-348.001647051468"
"-1245","2016-08-04","-384.7280281501844"
"-1238","2016-08-11","-404.8642867187789"
"-1231","2016-08-18","-399.59670698199"
"-1224","2016-08-25","-337.09136940155054"
"-1217","2016-09-01","-293.4772517769675"
"-1210","2016-09-08","-254.82986207731756"
"-1203","2016-09-15","-291.1556402841452"
"-1196","2016-09-22","-244.37735546606996"
"-1189","2016-09-29","-234.32070996534412"
"-1182","2016-10-06","-229.7023451619882"
"-1175","2016-10-13","-146.11942304349202"
"-1168","2016-10-20","-152.0409350396228"
"-1161","2016-10-27","-136.8008646115943"
"-1154","2016-11-03","-116.59330327371583"
"-1147","2016-11-10","-75.46959146142297"
"-1140","2016-11-17","-109.33752635124654"
"-1133","2016-11-24","-59.96264881002628"
"-1126","2016-12-01","-74.97159153586347"
"-1119","2016-12-08","-108.85744058812645"
"-1112","2016-12-15","-115.98703332098887"
"-1105","2016-12-22","-31.610087657499776"
"-1098","2016-12-29","199.12996892384524"
"-1091","2017-01-05","376.18362698528165"
"-1084","2017-01-12","610.5815580153875"
"-1077","2017-01-19","714.4197111410282"
"-1070","2017-01-26","752.8434591633976"
"-1063","2017-02-02","761.0310232607338"
"-1056","2017-02-09","759.1764162274632"
"-1049","2017-02-16","774.4721511754227"
"-1042","2017-02-23","794.0919661040299"
"-1035","2017-03-02","776.1738146011857"
"-1028","2017-03-09","727.8033691661811"
"-1021","2017-03-16","657.9982763033125"
"-1014","2017-03-23","638.6933917254597"
"-1007","2017-03-30","546.7272098859843"
"-1000","2017-04-06","536.8296848283538"
"-993","2017-04-13","474.6116192544754"
"-986","2017-04-20","478.5557760548469"
"-979","2017-04-27","443.00984164366685"
"-972","2017-05-04","490.18134365995127"
"-965","2017-05-11","517.1345973188155"
"-958","2017-05-18","503.7897253345262"
"-951","2017-05-25","495.9237663136952"
"-944","2017-06-01","482.1738562677974"
"-937","2017-06-08","511.0424378571431"
"-930","2017-06-15","554.9044225887607"
"-923","2017-06-22","578.0162028742936"
"-916","2017-06-29","607.5263840215486"
"-909","2017-07-06","578.4880812739831"
"-902","2017-07-13","545.8726042883644"
"-895","2017-07-20","520.584331282028"
"-888","2017-07-27","516.4765577805119"
"-881","2017-08-03","492.36809070541904"
"-874","2017-08-10","499.06034766779044"
"-867","2017-08-17","493.35471393273053"
"-860","2017-08-24","448.0699057048364"
"-853","2017-08-31","447.05908820768263"
"-846","2017-09-07","488.2265004979472"
"-839","2017-09-14","562.5433460167496"
"-832","2017-09-21","530.0627184363155"
"-825","2017-09-28","523.9333462574438"
"-818","2017-10-05","565.4119566522373"
"-811","2017-10-12","531.8740789813962"
"-804","2017-10-19","548.8231309582418"
"-797","2017-10-26","555.897655256872"
"-790","2017-11-02","562.8766011105597"
"-783","2017-11-09","502.6825737318802"
"-776","2017-11-16","421.3830037988182"
"-769","2017-11-23","362.1892193655924"
"-762","2017-11-30","283.45343293710243"
"-755","2017-12-07","221.66368665174673"
"-748","2017-12-14","193.43682811125973"
"-741","2017-12-21","213.50961794923796"
"-734","2017-12-28","217.7280973282002"
"-727","2018-01-04","185.03536880530964"
"-720","2018-01-11","166.457967042865"
"-713","2018-01-18","136.09101632689135"
"-706","2018-01-25","151.0823894979958"
"-699","2018-02-01","219.61609743657436"
"-692","2018-02-08","211.8951494678263"
"-685","2018-02-15","238.12413279717134"
"-678","2018-02-22","296.49176324015843"
"-671","2018-03-01","432.15366001148163"
"-664","2018-03-08","548.2155941767703"
"-657","2018-03-15","697.717453592956"
"-650","2018-03-22","818.618156865235"
"-643","2018-03-29","884.7817351789199"
"-636","2018-04-05","1047.9647840196994"
"-629","2018-04-12","1072.8054670189772"
"-622","2018-04-19","1120.8142317375261"
"-615","2018-04-26","1095.3663724546402"
"-608","2018-05-03","1075.6965483189827"
"-601","2018-05-10","1022.8953369277115"
"-594","2018-05-17","972.9078739414915"
"-587","2018-05-24","868.5345991410463"
"-580","2018-05-31","790.4340988232209"
"-573","2018-06-07","739.1280040629705"
"-566","2018-06-14","673.0078745722824"
"-559","2018-06-21","647.3439690995883"
"-552","2018-06-28","620.2957759511057"
"-545","2018-07-05","613.924151675616"
"-538","2018-07-12","637.2048926070258"
"-531","2018-07-19","738.0435431436255"
"-524","2018-07-26","828.29122666164"
"-517","2018-08-02","935.761270074891"
"-510","2018-08-09","899.2463814788354"
"-503","2018-08-16","926.5361322246857"
"-496","2018-08-23","910.4344902761308"
"-489","2018-08-30","894.7771508736752"
"-482","2018-09-06","868.4484133830063"
"-475","2018-09-13","802.3973596939909"
"-468","2018-09-20","819.6530995731182"
"-461","2018-09-27","844.3388618102167"
"-454","2018-10-04","907.6847266465641"
"-447","2018-10-11","907.0388145859893"
"-440","2018-10-18","874.8767689901124"
"-433","2018-10-25","849.809394521294"
"-426","2018-11-01","836.5883401657438"
"-419","2018-11-08","823.1097438588436"
"-412","2018-11-15","751.4157852358599"
"-405","2018-11-22","681.6941233168386"
"-398","2018-11-29","645.2752265661666"
"-391","2018-12-06","624.6276333013948"
"-384","2018-12-13","597.3512104201059"
"-377","2018-12-20","534.1685074331679"
"-370","2018-12-27","619.9143304169461"
"-363","2019-01-03","719.5236863253126"
"-356","2019-01-10","726.0182717598082"
"-349","2019-01-17","774.4917014396876"
"-342","2019-01-24","783.09368993565"
"-335","2019-01-31","797.0134154654697"
"-328","2019-02-07","839.4623064748014"
"-321","2019-02-14","801.6565001682447"
