"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-8385","1997-01-16","1997W03","118.23749057379803"
"-8378","1997-01-23","1997W04","63.78152841761789"
"-8371","1997-01-30","1997W05","102.28478783477999"
"-8364","1997-02-06","1997W06","63.76683126421176"
"-8357","1997-02-13","1997W07","114.23304978701901"
"-8350","1997-02-20","1997W08","64.67457919703998"
"-8343","1997-02-27","1997W09","105.06842255214713"
"-8336","1997-03-06","1997W10","104.37777751582246"
"-8329","1997-03-13","1997W11","114.55256383100232"
"-8322","1997-03-20","1997W12","130.53014336696515"
"-8315","1997-03-27","1997W13","-5.763777612931335"
"-8308","1997-04-03","1997W14","118.58592304107344"
"-8301","1997-04-10","1997W15","93.48500862885953"
"-8294","1997-04-17","1997W16","76.83124494828996"
"-8287","1997-04-24","1997W17","62.515878061282706"
"-8280","1997-05-01","1997W18","83.42520711745806"
"-8273","1997-05-08","1997W19","91.44222948891229"
"-8266","1997-05-15","1997W20","66.44833441270453"
"-8259","1997-05-22","1997W21","57.32502062519666"
"-8252","1997-05-29","1997W22","73.95561311468214"
"-8245","1997-06-05","1997W23","143.22695412137864"
"-8238","1997-06-12","1997W24","199.03104387670385"
"-8231","1997-06-19","1997W25","92.26660729183402"
"-8224","1997-06-26","1997W26","100.8405638686055"
"-8217","1997-07-03","1997W27","135.66937949847215"
"-8210","1997-07-10","1997W28","16.680280517644746"
"-8203","1997-07-17","1997W29","13.812312373959799"
"-8196","1997-07-24","1997W30","136.017227504949"
"-8189","1997-07-31","1997W31","49.260189494473025"
"-8182","1997-08-07","1997W32","139.52028323160312"
"-8175","1997-08-14","1997W33","56.790823601668535"
"-8168","1997-08-21","1997W34","57.0794581550208"
"-8161","1997-08-28","1997W35","107.40806218185014"
"-8154","1997-09-04","1997W36","85.81242762818658"
"-8147","1997-09-11","1997W37","145.34175027543927"
"-8140","1997-09-18","1997W38","63.05792253019263"
"-8133","1997-09-25","1997W39","84.03464199014513"
"-8126","1997-10-02","1997W40","107.35634862507152"
"-8119","1997-10-09","1997W41","106.1170058998216"
"-8112","1997-10-16","1997W42","150.41874343342147"
"-8105","1997-10-23","1997W43","138.37038080151876"
"-8098","1997-10-30","1997W44","112.08585381925002"
"-8091","1997-11-06","1997W45","88.68256606314003"
"-8084","1997-11-13","1997W46","90.27968948294995"
"-8077","1997-11-20","1997W47","25.996438701730995"
"-8070","1997-11-27","1997W48","15.950343993499587"
"-8063","1997-12-04","1997W49","71.25554795732796"
"-8056","1997-12-11","1997W50","64.02115057357514"
"-8049","1997-12-18","1997W51","149.34962663708893"
"-8042","1997-12-25","1997W52","131.33533852352855"
"-8035","1998-01-01","1998W01","73.06316587316451"
"-8028","1998-01-08","1998W02","41.60727209155357"
"-8021","1998-01-15","1998W03","42.03002559249876"
"-8014","1998-01-22","1998W04","-17.618908525721963"
"-8007","1998-01-29","1998W05","34.696706857410845"
"-8000","1998-02-05","1998W06","113.9991504569233"
"-7993","1998-02-12","1998W07","163.29641415248534"
"-7986","1998-02-19","1998W08","174.58208139660394"
"-7979","1998-02-26","1998W09","281.8354143065527"
"-7972","1998-03-05","1998W10","235.0216482632535"
"-7965","1998-03-12","1998W11","240.09248983368786"
"-7958","1998-03-19","1998W12","203.98681088616195"
"-7951","1998-03-26","1998W13","139.63152892257654"
"-7944","1998-04-02","1998W14","124.94266095008231"
"-7937","1998-04-09","1998W15","147.82653569526485"
"-7930","1998-04-16","1998W16","129.18114666390113"
"-7923","1998-04-23","1998W17","41.89762650182183"
"-7916","1998-04-30","1998W18","96.86182134711669"
"-7909","1998-05-07","1998W19","32.95594240674734"
"-7902","1998-05-14","1998W20","7.060270862594507"
"-7895","1998-05-21","1998W21","15.054891429684972"
"-7888","1998-05-28","1998W22","62.82142946426973"
"-7881","1998-06-04","1998W23","45.24476645774996"
"-7874","1998-06-11","1998W24","49.21470905542776"
"-7867","1998-06-18","1998W25","73.62758740220488"
"-7860","1998-06-25","1998W26","71.38775963143473"
"-7853","1998-07-02","1998W27","87.40900066337224"
"-7846","1998-07-09","1998W28","114.61575514688786"
"-7839","1998-07-16","1998W29","81.94423633805957"
"-7832","1998-07-23","1998W30","100.34335493380433"
"-7825","1998-07-30","1998W31","46.775464335694664"
"-7818","1998-08-06","1998W32","26.216911472982474"
"-7811","1998-08-13","1998W33","51.658385126340704"
"-7804","1998-08-20","1998W34","164.1050566241761"
"-7797","1998-08-27","1998W35","110.57651078919127"
"-7790","1998-09-03","1998W36","98.10646805066631"
"-7783","1998-09-10","1998W37","170.742301663695"
"-7776","1998-09-17","1998W38","67.54435694648669"
"-7769","1998-09-24","1998W39","83.58508231782207"
"-7762","1998-10-01","1998W40","85.9479846471412"
"-7755","1998-10-08","1998W41","79.72642398002517"
"-7748","1998-10-15","1998W42","89.02226503485804"
"-7741","1998-10-22","1998W43","33.94440494846765"
"-7734","1998-10-29","1998W44","84.60719854920342"
"-7727","1998-11-05","1998W45","25.12880392899649"
"-7720","1998-11-12","1998W46","24.629472249832133"
"-7713","1998-11-19","1998W47","92.22980653755405"
"-7706","1998-11-26","1998W48","94.04901467524064"
